Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Revenue;Cost of Revenue;Gross Profit;Operating Expenses;Selling, General & Administrative;Research & Development;Depreciation & Amortization;Operating Income (Loss);Non-Operating Income (Loss);Interest Expense, Net;Pretax Income (Loss), Adj.;Abnormal Gains (Losses);Pretax Income (Loss);Income Tax (Expense) Benefit, Net;Income (Loss) from Continuing Operations;Net Extraordinary Gains (Losses);Net Income;Net Income (Common)
A;45846;USD;2020;FY;2020-10-31;2020-12-18;2022-12-21;309000000;312000000;5339000000;-2502000000;2837000000;-1991000000;-1496000000;-495000000;;846000000;-4000000;-70000000;842000000;;842000000;-123000000;719000000;;719000000;719000000
A;45846;USD;2021;FY;2021-10-31;2021-12-17;2023-12-20;305000000;307000000;6319000000;-2912000000;3407000000;-2060000000;-1619000000;-441000000;;1347000000;13000000;-79000000;1360000000;;1360000000;-150000000;1210000000;;1210000000;1210000000
A;45846;USD;2022;FY;2022-10-31;2022-12-21;2024-12-20;304000000;307000000;6848000000;-3126000000;3722000000;-2104000000;-1637000000;-467000000;;1618000000;-114000000;-75000000;1504000000;;1504000000;-250000000;1254000000;;1254000000;1254000000
A;45846;USD;2023;FY;2023-10-31;2023-12-20;2025-12-22;294000000;296000000;6833000000;-3368000000;3465000000;-2115000000;-1634000000;-481000000;;1350000000;-11000000;-44000000;1339000000;;1339000000;-99000000;1240000000;;1240000000;1240000000
A;45846;USD;2024;FY;2024-10-31;2024-12-20;2025-12-22;290000000;291000000;6510000000;-2975000000;3535000000;-2047000000;-1568000000;-479000000;;1488000000;33000000;-16000000;1521000000;;1521000000;-232000000;1289000000;;1289000000;1289000000
A21;1333027;USD;2020;FY;2020-12-31;2021-03-10;2023-04-21;1853320448;2115376392;9456609000;-7907270000;1549339000;-2218676000;-1118819000;-1099857000;;-669337000;208133000;-66916000;-461204000;272327000;-188877000;22847000;-166030000;14373000;-151657000;-791985000
A21;1333027;USD;2021;FY;2021-12-31;2022-04-19;2024-04-12;1853320448;1853320448;4186125184;-3293183125;892942059;-1050611949;-541269175;-509342773;;-157669889;133986239;-9801905;-23683650;;-23683650;-26137226;-49820876;;-49820876;-49820876
AA;367153;USD;2020;FY;2020-12-31;2021-02-25;2023-02-23;186000000;186000000;9286000000;-7969000000;1317000000;-886000000;-206000000;-27000000;-653000000;431000000;-154000000;-146000000;277000000;-104000000;173000000;-187000000;-14000000;;-170000000;-170000000
AA;367153;USD;2021;FY;2021-12-31;2022-02-24;2024-02-21;185663439;185663439;12152000000;-9153000000;2999000000;-922000000;-227000000;-31000000;-664000000;2077000000;250000000;-195000000;2327000000;-1128000000;1199000000;-629000000;570000000;;429000000;429000000
AA;367153;USD;2022;FY;2022-12-31;2023-02-23;2025-02-20;186377853;189907737;12451000000;-10212000000;2239000000;-853000000;-204000000;-32000000;-617000000;1386000000;12000000;-106000000;1398000000;-696000000;702000000;-664000000;38000000;;-123000000;-123000000
AA;367153;USD;2023;FY;2023-12-31;2024-02-21;2026-02-26;178000000;178000000;10551000000;-9813000000;738000000;-897000000;-226000000;-39000000;-632000000;-159000000;-241000000;-107000000;-400000000;-184000000;-584000000;-189000000;-773000000;;-651000000;-651000000
AA;367153;USD;2024;FY;2024-12-31;2025-02-20;2026-02-26;212000000;214000000;11895000000;-10044000000;1851000000;-974000000;-275000000;-57000000;-642000000;877000000;-247000000;-156000000;630000000;-341000000;289000000;-265000000;24000000;;60000000;60000000
AAC;7962652;USD;2021;FY;2021-12-31;2022-03-04;2023-03-10;125000000;125000000;;;;-6461616;-6461616;;;-6461616;284779;;-6176837;22025909;15849072;;15849072;;15849072;15849072
AAC;7962652;USD;2022;FY;2022-12-31;2023-02-28;2023-03-10;100000000;100000000;;;;-7342712;-7342712;;;-7342712;13097713;;5755001;15228589;20983590;;20983590;;20983590;20983590
AACG;18712193;USD;2021;FY;2021-12-31;2022-04-26;2024-04-10;62748095;62748095;31339543;-15097748;16241794;-26531204;-24705548;-1829068;;-10289409;139120;172139;-10150289;4268635;-5881653;238612;-5643041;;-5215200;-5215200
AACG;18712193;USD;2022;FY;2022-12-31;2023-04-12;2025-04-10;62753840;62753840;30734056;-15501575;15232481;-23641374;-22634701;-1009127;;-8408893;113282;112474;-8295610;194464;-8101145;879931;-7221214;;-7116996;-7116996
AACI;11820349;USD;2021;FY;2021-09-30;2021-12-29;2022-12-22;5709500;20709500;;;;-184105;-184105;;;-184105;1052;1052;-183053;;-183053;;-183053;-285846;-468899;-468899
AACT;14122297;USD;2023;FY;2023-12-31;2024-02-28;2026-03-11;57932000;57932000;16946000;;;-70795000;-23664000;-47131000;;-53849000;-3213000;-5407000;-57062000;126000;-56936000;-9000;-56945000;;-56945000;-56945000
AACT;14122297;USD;2024;FY;2024-12-31;2025-03-12;2026-03-11;58410000;58410000;14933000;;;-76652000;-24203000;-52449000;;-61719000;-4056000;-4951000;-65775000;-3683000;-69458000;-1000;-69459000;;-69459000;-69459000
AAGH;12444287;USD;2021;FY;2021-06-30;2022-01-21;2022-10-31;20438554050;20438554050;195671;-144318;51353;-294913;-294913;;;-243560;-20044;-20044;-263604;-5450;-269054;;-269054;;-269054;-269054
AAGH;12444287;USD;2022;FY;2022-06-30;2022-10-31;2023-10-13;21090049276;21090049276;104648;-1588453;-1483805;-3250293;-3250293;;;-4734098;-190838;-190911;-4924936;;-4924936;;-4924936;;-4866153;-4866153
AAGH;12444287;USD;2023;FY;2023-06-30;2023-10-13;2025-02-25;21093402806;21093402806;204308;-35720;168588;-661232;-661232;;;-492644;-284696;-319679;-777340;;-777340;;-777340;;-761420;-761420
AAGH;12444287;USD;2024;FY;2024-06-30;2025-02-25;2025-02-25;21123253567;21123253567;294670;-124920;169750;-952450;-952450;;;-782700;-443662;-443662;-1226362;;-1226362;;-1226362;;-1220571;-1220571
AAIC;9076064;USD;2020;FY;2020-12-31;2021-02-26;2022-03-10;35343000;35343000;46014000;;;-12615000;-5374000;;;33399000;-22916000;-22916000;10483000;-78199000;-67716000;;-67716000;;-67716000;-70707000
AAIC;9076064;USD;2021;FY;2021-12-31;2022-03-10;2023-03-31;32312000;32312000;25789000;;;-11704000;-11704000;;;14085000;-8835000;-8835000;5250000;-13199000;-7949000;-1566000;-9515000;;-9515000;-12431000
AAIC;9076064;USD;2022;FY;2022-12-31;2023-03-31;2023-03-31;28717000;29243000;49456000;;;-14915000;-14915000;;;34541000;-27584000;-27584000;6957000;2587000;9544000;-4118000;5426000;;5426000;2642000
AAL;68568;USD;2020;FY;2020-12-31;2021-02-17;2023-02-22;483888000;483888000;17337000000;-22523000000;-5186000000;-5235000000;-666000000;;-2040000000;-10421000000;-1032000000;-1186000000;-11453000000;;-11453000000;2568000000;-8885000000;;-8885000000;-8885000000
