,gain
profit_regime_loss,0.5441375
leverage_tier_low,0.08739744
debt_to_equity,0.04348359
asset_turnover,0.04126034
net_margin,0.039464895
profit_regime_profitable,0.036338
leverage_tier_med,0.03021097
leverage_tier_high,0.026777767
ebit_margin,0.023041032
size_bucket_micro,0.016408993
current_ratio,0.015878335
negative_equity,0.014117807
opex_ratio,0.012263274
profit_regime_breakeven,0.010108738
size_bucket_large,0.0094265165
gross_margin,0.007827018
size_bucket_small,0.0073416457
size_bucket_mid,0.0069829156
revenue_growth,0.0062272544
cost_growth,0.006018705
growth_stage_stable,0.0058361106
growth_stage_high_growth,0.005268525
growth_stage_shrinking,0.0041826167
